f_Hz,ReZ11,ImZ11,ReZ21,ImZ21,ReZ22,ImZ22,ReZ12,ImZ12
8.664300000000000000e+08,1.680901446179080549e+00,4.509652934053211659e+00,-8.354036067648690222e-02,6.193650694740107099e-01,9.162502632678976022e-02,4.982370608974112658e-01,-1.033627891994793602e-01,5.802121068980461427e-01
8.671650000000000000e+08,1.756457413366770304e+00,4.577984621692468004e+00,-8.048927175729761463e-02,6.165912715417519729e-01,8.811380939300696158e-02,5.033550775215699380e-01,-1.014098423066075588e-01,5.766299578047698882e-01
8.679000000000000000e+08,1.833010438790143359e+00,4.648763447570918750e+00,-7.715959799045225831e-02,6.131589277136322291e-01,8.441349331072971196e-02,5.091279294035089276e-01,-9.920226073371196662e-02,5.723944150649930007e-01
8.686350000000000000e+08,1.911087123466645998e+00,4.723065806441670844e+00,-7.372253330942264704e-02,6.090160481342352661e-01,8.069307637000050493e-02,5.155796852788169238e-01,-9.690841475802434990e-02,5.674406520503845197e-01
8.693700000000000000e+08,1.991521038861441717e+00,4.801939811135446767e+00,-7.035595727537384547e-02,6.041515731226998476e-01,7.712139198014571206e-02,5.226942280166473331e-01,-9.470764458613827041e-02,5.617422442138754191e-01
8.701050000000000000e+08,2.075457602441746818e+00,4.886339148688195522e+00,-6.723469720307673203e-02,5.985954929134678082e-01,7.385777003504240268e-02,5.304166488171488947e-01,-9.278156460886864687e-02,5.553123890911669802e-01
8.708400000000000000e+08,2.164345437364207481e+00,4.977055709933722483e+00,-6.452114874105302489e-02,5.924166360603210224e-01,7.104334480209281710e-02,5.386567610132957373e-01,-9.130542680186848337e-02,5.482031710007742031e-01
8.715750000000000000e+08,2.259914411103936427e+00,5.074653907110410422e+00,-6.235682330243862842e-02,5.857183233965878033e-01,6.879347582361086677e-02,5.472945072497243935e-01,-9.043997467589059980e-02,5.405029668827483480e-01
8.723100000000000000e+08,2.364141268400865581e+00,5.179409318333568990e+00,-6.085530638059131331e-02,5.786322274831019463e-01,6.719167817315656321e-02,5.561869359332114460e-01,-9.032417720001535699e-02,5.323321813207513298e-01
8.730450000000000000e+08,2.479204338829230192e+00,5.291253813683661100e+00,-6.009698918179384730e-02,5.713108857317843459e-01,6.628536951391031384e-02,5.651763451270253036e-01,-9.106917217881273230e-02,5.238375760945509496e-01
8.737800000000000000e+08,2.607429142983865411e+00,5.409728697825803678e+00,-6.012579181567125064e-02,5.639193791921867094e-01,6.608363914617498835e-02,5.740991373480022197e-01,-9.275367496657452304e-02,5.151855197352029903e-01
8.745150000000000000e+08,2.751226810288711189e+00,5.533946740860357316e+00,-6.094794631995588408e-02,5.566267050063519184e-01,6.655713409059936525e-02,5.827948985907631663e-01,-9.542102561258233862e-02,5.065545237847347559e-01
8.752500000000000000e+08,2.913027058815961912e+00,5.662563360397952827e+00,-6.253276826566281366e-02,5.495973419328460396e-01,6.764004458631034389e-02,5.911152098204663918e-01,-9.907795991844255135e-02,4.981274540726320366e-01
8.759850000000000000e+08,3.095207110896629032e+00,5.793756753338103138e+00,-6.481522973492259698e-02,5.429834437025721217e-01,6.923406130227476030e-02,5.989317186962836992e-01,-1.036951015809470522e-01,4.900838073984873366e-01
8.767200000000000000e+08,3.300017393218884099e+00,5.925216526262641281e+00,-6.770006251079092874e-02,5.369180064162379917e-01,7.121407390234694990e-02,6.061430421702990179e-01,-1.092090874311890669e-01,4.825924272890184663e-01
8.774550000000000000e+08,3.529504280826593288e+00,6.054140384299453004e+00,-7.106707143181835440e-02,5.315092571176893710e-01,7.343528992422788948e-02,6.126801348629559163e-01,-1.155261593169916445e-01,4.758049982599156791e-01
8.781900000000000000e+08,3.785429585007930253e+00,6.177238728215884933e+00,-7.477732208430705463e-02,5.268364136180488932e-01,7.574137846953563069e-02,6.185098409913001305e-01,-1.225269876955047549e-01,4.698506080536485885e-01
8.789250000000000000e+08,4.069186052535561871e+00,6.290747570755142348e+00,-7.867987840224857643e-02,5.229468806559797178e-01,7.797318878024671329e-02,6.236364455377264582e-01,-1.300724365038521124e-01,4.648316039717824699e-01
8.796600000000000000e+08,4.381707934258589177e+00,6.390450983989895306e+00,-8.261879585670758863e-02,5.198548811566195971e-01,7.997756261605377948e-02,6.281011488407138854e-01,-1.380099389936933485e-01,4.608208955806212814e-01
8.803950000000000000e+08,4.723375788622181659e+00,6.471715273928391632e+00,-8.644011523611359882e-02,5.175414765139736417e-01,8.161575379615859660e-02,6.319795025588097470e-01,-1.461801320801857373e-01,4.578607752506267947e-01
8.811300000000000000e+08,5.093915201375436297e+00,6.529538163833205289e+00,-8.999864130250202765e-02,5.159559056867613069e-01,8.277098949409222861e-02,6.353769579854539051e-01,-1.544233937907860954e-01,4.559632442698394184e-01
8.818650000000000000e+08,5.492290111684043907e+00,6.558617336222640759e+00,-9.316432190078002828e-02,5.150181655621686172e-01,8.335475556383692419e-02,6.384227835203885038e-01,-1.625859451030079172e-01,4.551117501669580401e-01
8.826000000000000000e+08,5.916593007310757102e+00,6.553443572421202568e+00,-9.582806049553228844e-02,5.146227580837462456e-01,8.331146032990802142e-02,6.412627002591123615e-01,-1.705252132093006412e-01,4.552641651179761273e-01
8.833350000000000000e+08,6.363936423743914439e+00,6.508424218144651441e+00,-9.790679537476523753e-02,5.146435347519900949e-01,8.262122414108774571e-02,6.440506571706603456e-01,-1.781142061799345921e-01,4.563567705041508549e-01
8.840700000000000000e+08,6.830352924399496928e+00,6.418042511581191434e+00,-9.934766189978454232e-02,5.149395667784399944e-01,8.130065019127254156e-02,6.469402152712847576e-01,-1.852447160085707034e-01,4.583089629541008403e-01
8.848050000000000000e+08,7.310713909722435844e+00,6.277057100280661217e+00,-1.001310240816137426e-01,5.153619495574786047e-01,7.940154898380046011e-02,6.500760302031934890e-01,-1.918292439202207711e-01,4.610283657677433644e-01
8.855400000000000000e+08,7.798680893765468802e+00,6.080743489411444713e+00,-1.002721268184920411e-01,5.157614042988035719e-01,7.700770690868002921e-02,6.535859132651992143e-01,-1.978016235827635139e-01,4.644160184923675772e-01
8.862750000000000000e+08,8.286705771184644576e+00,5.825174906258918206e+00,-9.982109360013097232e-02,5.159964615519038178e-01,7.422990111229994803e-02,6.575739129098663316e-01,-2.031163990569680444e-01,4.683713271599669881e-01
8.870100000000000000e+08,8.766098307929523159e+00,5.507534009900270533e+00,-9.886099412711230050e-02,5.159419003108989266e-01,7.119946107300764715e-02,6.621147947883467832e-01,-2.077470895539968165e-01,4.727964873329498774e-01
8.877450000000000000e+08,9.227178656534277934e+00,5.126439233869573897e+00,-9.750375253944440490e-02,5.154969802945474910e-01,6.806075607160277929e-02,6.672502131622444210e-01,-2.116835374537758274e-01,4.776001392318765526e-01
8.884800000000000000e+08,9.659529094596580379e+00,4.682261044475882095e+00,-9.588377900477390581e-02,5.145928630090501610e-01,6.496304266000470229e-02,6.729867658316651680e-01,-2.149285855882140939e-01,4.827000752144277040e-01
8.892150000000000000e+08,1.005235159706412595e+01,4.177395373076580931e+00,-9.414939704925864850e-02,5.131985007618473649e-01,6.205213472813811415e-02,6.792960153486484742e-01,-2.174943617228845272e-01,4.880248902577949410e-01
