        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 1.35000000e+00,        +1.414213562373e-01,        +9.931798564539e-04,        +1.251954405530e-02
 1.35500000e+00,        +1.414213562373e-01,        +9.999565329470e-04,        +1.272330763002e-02
 1.36000000e+00,        +1.414213562373e-01,        +1.007389308022e-03,        +1.292296762073e-02
 1.36500000e+00,        +1.414213562373e-01,        +1.015425259410e-03,        +1.311879426849e-02
 1.37000000e+00,        +1.414213562373e-01,        +1.024017596966e-03,        +1.331103535564e-02
 1.37500000e+00,        +1.414213562373e-01,        +1.033124863709e-03,        +1.349991855894e-02
 1.38000000e+00,        +1.414213562373e-01,        +1.042710255375e-03,        +1.368565351298e-02
 1.38500000e+00,        +1.414213562373e-01,        +1.052741038925e-03,        +1.386843362474e-02
 1.39000000e+00,        +1.414213562373e-01,        +1.063188054031e-03,        +1.404843767376e-02
 1.39500000e+00,        +1.414213562373e-01,        +1.074025284373e-03,        +1.422583122668e-02
 1.40000000e+00,        +1.414213562373e-01,        +1.085229487875e-03,        +1.440076789116e-02
 1.40500000e+00,        +1.414213562373e-01,        +1.096779876897e-03,        +1.457339042991e-02
 1.41000000e+00,        +1.414213562373e-01,        +1.108657840867e-03,        +1.474383175283e-02
 1.41500000e+00,        +1.414213562373e-01,        +1.120846705112e-03,        +1.491221580268e-02
 1.42000000e+00,        +1.414213562373e-01,        +1.133331520650e-03,        +1.507865834736e-02
 1.42500000e+00,        +1.414213562373e-01,        +1.146098880527e-03,        +1.524326769016e-02
 1.43000000e+00,        +1.414213562373e-01,        +1.159136758997e-03,        +1.540614530793e-02
 1.43500000e+00,        +1.414213562373e-01,        +1.172434370459e-03,        +1.556738642546e-02
 1.44000000e+00,        +1.414213562373e-01,        +1.185982045567e-03,        +1.572708053361e-02
 1.44500000e+00,        +1.414213562373e-01,        +1.199771122076e-03,        +1.588531185702e-02
 1.45000000e+00,        +1.414213562373e-01,        +1.213793847827e-03,        +1.604215977767e-02
 1.45500000e+00,        +1.414213562373e-01,        +1.228043295178e-03,        +1.619769921990e-02
 1.46000000e+00,        +1.414213562373e-01,        +1.242513286089e-03,        +1.635200099991e-02
 1.46500000e+00,        +1.414213562373e-01,        +1.257198325370e-03,        +1.650513214323e-02
 1.47000000e+00,        +1.414213562373e-01,        +1.272093541148e-03,        +1.665715617441e-02
 1.47500000e+00,        +1.414213562373e-01,        +1.287194631992e-03,        +1.680813338163e-02
 1.48000000e+00,        +1.414213562373e-01,        +1.302497819905e-03,        +1.695812105882e-02
 1.48500000e+00,        +1.414213562373e-01,        +1.317999808488e-03,        +1.710717372740e-02
 1.49000000e+00,        +1.414213562373e-01,        +1.333697745662e-03,        +1.725534333988e-02
 1.49500000e+00,        +1.414213562373e-01,        +1.349589190434e-03,        +1.740267946691e-02
 1.50000000e+00,        +1.414213562373e-01,        +1.365672083263e-03,        +1.754922946951e-02
