f_Hz,ReZ0_ohm,ImZ0_ohm
7.240000000000000000e+08,4.850016478701718370e+01,-2.607333487509226888e-01
7.260000000000000000e+08,4.849928837527192371e+01,-2.607589597197976228e-01
7.280000000000000000e+08,4.849841260709512625e+01,-2.607800589255761525e-01
7.300000000000000000e+08,4.849753750137920605e+01,-2.607966480711475521e-01
7.320000000000000000e+08,4.849666307700471890e+01,-2.608087289405683351e-01
7.340000000000000000e+08,4.849578935283982162e+01,-2.608163033990262281e-01
7.360000000000000000e+08,4.849491634773999493e+01,-2.608193733924630831e-01
7.380000000000000000e+08,4.849404408054758875e+01,-2.608179409475941402e-01
7.400000000000000000e+08,4.849317257009145266e+01,-2.608120081716522320e-01
7.420000000000000000e+08,4.849230183518658066e+01,-2.608015772521353748e-01
7.440000000000000000e+08,4.849143189463377013e+01,-2.607866504567326604e-01
7.460000000000000000e+08,4.849056276721903913e+01,-2.607672301330533071e-01
7.480000000000000000e+08,4.848969447171361224e+01,-2.607433187084218784e-01
7.500000000000000000e+08,4.848882702687321711e+01,-2.607149186897454451e-01
7.520000000000000000e+08,4.848796045143792099e+01,-2.606820326633491613e-01
7.540000000000000000e+08,4.848709476413167607e+01,-2.606446632944575126e-01
7.560000000000000000e+08,4.848622998366197123e+01,-2.606028133274900793e-01
7.580000000000000000e+08,4.848536612871953366e+01,-2.605564855854280437e-01
7.600000000000000000e+08,4.848450321797789542e+01,-2.605056829697719456e-01
7.620000000000000000e+08,4.848364127009309499e+01,-2.604504084603018188e-01
7.640000000000000000e+08,4.848278030370330072e+01,-2.603906651149026641e-01
7.660000000000000000e+08,4.848192033742850526e+01,-2.603264560692013507e-01
7.680000000000000000e+08,4.848106138987016323e+01,-2.602577845364955067e-01
7.700000000000000000e+08,4.848020347961082166e+01,-2.601846538074447102e-01
7.720000000000000000e+08,4.847934662521386429e+01,-2.601070672497650116e-01
7.740000000000000000e+08,4.847849084522308516e+01,-2.600250283082354841e-01
7.760000000000000000e+08,4.847763615816246840e+01,-2.599385405041856889e-01
7.780000000000000000e+08,4.847678258253578321e+01,-2.598476074353573417e-01
7.800000000000000000e+08,4.847593013682626406e+01,-2.597522327757492144e-01
7.820000000000000000e+08,4.847507883949644736e+01,-2.596524202752626409e-01
7.840000000000000000e+08,4.847422870898762426e+01,-2.595481737594744209e-01
7.860000000000000000e+08,4.847337976371963464e+01,-2.594394971294397001e-01
7.880000000000000000e+08,4.847253202209073919e+01,-2.593263943613799971e-01
7.900000000000000000e+08,4.847168550247697283e+01,-2.592088695064664328e-01
7.920000000000000000e+08,4.847084022323217312e+01,-2.590869266905356794e-01
7.940000000000000000e+08,4.846999620268744735e+01,-2.589605701138753546e-01
7.960000000000000000e+08,4.846915345915112994e+01,-2.588298040509566245e-01
7.980000000000000000e+08,4.846831201090822816e+01,-2.586946328501120718e-01
8.000000000000000000e+08,4.846747187622036535e+01,-2.585550609334409389e-01
8.020000000000000000e+08,4.846663307332538295e+01,-2.584110927962036119e-01
8.040000000000000000e+08,4.846579562043714162e+01,-2.582627330070748073e-01
8.060000000000000000e+08,4.846495953574514459e+01,-2.581099862074129891e-01
8.080000000000000000e+08,4.846412483741440980e+01,-2.579528571111828761e-01
8.100000000000000000e+08,4.846329154358515723e+01,-2.577913505047498277e-01
8.120000000000000000e+08,4.846245967237253893e+01,-2.576254712465348429e-01
8.140000000000000000e+08,4.846162924186634058e+01,-2.574552242666682256e-01
8.160000000000000000e+08,4.846080027013093172e+01,-2.572806145669812028e-01
8.180000000000000000e+08,4.845997277520474000e+01,-2.571016472203854208e-01
8.200000000000000000e+08,4.845914677510024404e+01,-2.569183273708723347e-01
8.220000000000000000e+08,4.845832228780367501e+01,-2.567306602332187770e-01
8.240000000000000000e+08,4.845749933127471110e+01,-2.565386510925339314e-01
8.260000000000000000e+08,4.845667792344632829e+01,-2.563423053042190869e-01
8.280000000000000000e+08,4.845585808222459434e+01,-2.561416282935242150e-01
8.300000000000000000e+08,4.845503982548842004e+01,-2.559366255553843228e-01
8.320000000000000000e+08,4.845422317108933896e+01,-2.557273026540891059e-01
8.340000000000000000e+08,4.845340813685131565e+01,-2.555136652230569627e-01
8.360000000000000000e+08,4.845259474057049687e+01,-2.552957189645448377e-01
8.380000000000000000e+08,4.845178300001514060e+01,-2.550734696493484055e-01
8.400000000000000000e+08,4.845097293292527496e+01,-2.548469231166156646e-01
8.420000000000000000e+08,4.845016455701252767e+01,-2.546160852735209201e-01
8.440000000000000000e+08,4.844935788996011183e+01,-2.543809620949820660e-01
