k,t_real_s,y1,u1_aplicado,dy1,du1_aplicado
1705,8.525,2.466,93.242,-0.010999999999999677,43.242000000000004
1706,8.53,2.428,5.801,-0.04899999999999993,-44.199
1707,8.535,2.438,75.645,-0.0389999999999997,25.644999999999996
1708,8.54,2.463,93.242,-0.01399999999999979,43.242000000000004
1709,8.545,2.547,93.438,0.07000000000000028,43.438
1710,8.55,2.582,93.545,0.10499999999999998,43.545
1711,8.555,2.661,6.387,0.18400000000000016,-43.613
1712,8.56,2.58,6.162,0.1030000000000002,-43.838
1713,8.565,2.508,50.078,0.03100000000000014,0.07800000000000296
1714,8.57,2.54,93.398,0.06300000000000017,43.397999999999996
1715,8.575,2.531,6.074,0.05400000000000027,-43.926
1716,8.58,2.498,49.639,0.02100000000000035,-0.3609999999999971
1717,8.585,2.444,5.83,-0.03299999999999992,-44.17
1718,8.59,2.368,5.615,-0.10899999999999999,-44.385
1719,8.595,2.295,92.764,-0.18199999999999994,42.763999999999996
1720,8.6,2.379,23.135,-0.09799999999999986,-26.865
1721,8.605,2.314,5.479,-0.1629999999999998,-44.521
1722,8.61,2.278,31.572,-0.19899999999999984,-18.428
1723,8.615,2.322,92.842,-0.1549999999999998,42.842
1724,8.62,2.305,5.488,-0.1719999999999997,-44.512
1725,8.625,2.273,40.342,-0.20399999999999974,-9.658000000000001
1726,8.63,2.309,92.813,-0.1679999999999997,42.813
1727,8.635,2.398,93.057,-0.07899999999999974,43.057
1728,8.64,2.466,75.732,-0.010999999999999677,25.732
1729,8.645,2.528,6.006,0.051000000000000156,-43.994
1730,8.651,2.447,49.414,-0.029999999999999805,-0.5859999999999985
1731,8.655,2.46,23.33,-0.016999999999999904,-26.67
1732,8.66,2.444,75.752,-0.03299999999999992,25.751999999999995
1733,8.665,2.415,66.855,-0.06199999999999983,16.855000000000004
1734,8.67,2.48,93.291,0.0030000000000001137,43.291
1735,8.675,2.565,93.477,0.08800000000000008,43.477000000000004
1736,8.68,2.634,6.309,0.15700000000000003,-43.691
1737,8.685,2.55,23.545,0.07299999999999995,-26.455
1738,8.69,2.476,5.947,-0.0009999999999998899,-44.053
1739,8.695,2.417,14.404,-0.06000000000000005,-35.596000000000004
1740,8.7,2.457,5.869,-0.020000000000000018,-44.131
1741,8.705,2.384,92.959,-0.09299999999999997,42.959
1742,8.71,2.455,66.934,-0.021999999999999797,16.933999999999997
1743,8.715,2.49,93.311,0.013000000000000345,43.31100000000001
1744,8.72,2.57,93.535,0.09299999999999997,43.535
1745,8.725,2.649,93.73,0.17200000000000015,43.730000000000004
1746,8.73,2.72,76.807,0.24300000000000033,26.807000000000002
1747,8.736,2.765,6.621,0.28800000000000026,-43.379
1748,8.74,2.694,76.357,0.21700000000000008,26.357
1749,8.745,2.714,6.494,0.2370000000000001,-43.506
1750,8.75,2.621,6.25,0.14400000000000013,-43.75
1751,8.755,2.533,67.168,0.05600000000000005,17.168000000000006
1752,8.76,2.497,93.33,0.020000000000000018,43.33
1753,8.765,2.584,6.201,0.1070000000000002,-43.799
1754,8.77,2.499,75.811,0.02200000000000024,25.811000000000007
1755,8.775,2.561,93.477,0.08400000000000007,43.477000000000004
1756,8.78,2.559,6.094,0.0820000000000003,-43.906
1757,8.785,2.467,23.359,-0.009999999999999787,-26.641
1758,8.79,2.516,93.35,0.039000000000000146,43.349999999999994
1759,8.795,2.565,6.201,0.08800000000000008,-43.799
1760,8.8,2.489,93.281,0.01200000000000001,43.281000000000006
1761,8.805,2.555,93.486,0.07800000000000029,43.486000000000004
1762,8.81,2.63,93.672,0.15300000000000002,43.672
1763,8.815,2.706,67.666,0.2290000000000001,17.665999999999997
